               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.019643,           0.0050673,                   0,             0.99976,                   1,               0.995,             0.76135,            0.016757,           0.0039239,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.019506,           0.0050613,                   0,             0.99968,                   1,               0.995,             0.76394,             0.01671,           0.0039361,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.019547,           0.0051343,                   0,             0.99967,                   1,               0.995,             0.76419,            0.016635,           0.0039104,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.019498,           0.0050505,                   0,             0.99965,                   1,               0.995,             0.76662,            0.016548,           0.0039111,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.019424,           0.0050736,                   0,             0.99965,                   1,               0.995,              0.7653,             0.01657,           0.0039052,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.019448,           0.0050294,                   0,             0.99986,                   1,               0.995,             0.76509,            0.016479,           0.0038876,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.019411,           0.0049535,                   0,              0.9996,             0.99999,               0.995,             0.76573,            0.016515,           0.0039013,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.019453,           0.0050892,                   0,             0.99975,                   1,               0.995,             0.76544,            0.016465,           0.0038919,                   0,            0.008515,            0.008515,            0.008515
                  47,            0.019383,           0.0050783,                   0,             0.99954,                   1,               0.995,             0.76689,            0.016388,           0.0038949,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.019371,           0.0050558,                   0,              0.9996,             0.99994,               0.995,             0.76863,            0.016287,           0.0038657,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.019195,           0.0050748,                   0,             0.99957,                   1,               0.995,             0.77058,            0.016211,           0.0038617,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.019378,           0.0050182,                   0,             0.99998,                   1,               0.995,             0.76983,            0.016208,           0.0038642,                   0,            0.008383,            0.008383,            0.008383
                  51,            0.019337,           0.0050179,                   0,             0.99981,                   1,               0.995,             0.77112,            0.016171,           0.0038552,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.019322,           0.0050354,                   0,             0.99968,                   1,               0.995,             0.77394,            0.016082,           0.0038384,                   0,            0.008317,            0.008317,            0.008317
                  53,            0.019168,            0.005006,                   0,             0.99989,                   1,               0.995,             0.77378,            0.016045,           0.0038391,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.019248,           0.0050462,                   0,             0.99997,                   1,               0.995,             0.77342,            0.016021,            0.003838,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.019118,           0.0049998,                   0,             0.99997,                   1,               0.995,             0.77563,            0.015871,           0.0038168,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.019157,           0.0050127,                   0,             0.99986,                   1,               0.995,             0.77615,            0.015849,           0.0038078,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.019033,           0.0050287,                   0,             0.99977,                   1,               0.995,             0.77601,             0.01584,           0.0038139,                   0,            0.008152,            0.008152,            0.008152
                  58,            0.018977,           0.0050334,                   0,             0.99973,                   1,               0.995,             0.77723,            0.015829,            0.003817,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.019098,           0.0050455,                   0,             0.99948,                   1,               0.995,             0.77739,            0.015748,           0.0038109,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.019032,           0.0050118,                   0,             0.99967,                   1,               0.995,             0.77775,            0.015683,           0.0038096,                   0,            0.008053,            0.008053,            0.008053
                  61,            0.018976,           0.0049557,                   0,             0.99979,                   1,               0.995,             0.78053,            0.015587,           0.0037918,                   0,             0.00802,             0.00802,             0.00802
                  62,            0.019013,           0.0050071,                   0,             0.99959,                   1,               0.995,             0.78087,            0.015555,           0.0037856,                   0,            0.007987,            0.007987,            0.007987
                  63,            0.018807,           0.0050005,                   0,             0.99966,                   1,               0.995,              0.7819,            0.015472,           0.0037748,                   0,            0.007954,            0.007954,            0.007954
                  64,            0.018876,           0.0050207,                   0,             0.99992,                   1,               0.995,             0.78394,            0.015415,           0.0037676,                   0,            0.007921,            0.007921,            0.007921
                  65,            0.018927,           0.0049274,                   0,              0.9998,                   1,               0.995,             0.78436,            0.015362,           0.0037638,                   0,            0.007888,            0.007888,            0.007888
                  66,            0.018982,           0.0050085,                   0,             0.99986,                   1,               0.995,             0.78527,            0.015294,            0.003758,                   0,            0.007855,            0.007855,            0.007855
                  67,            0.018749,            0.004948,                   0,              0.9998,                   1,               0.995,             0.78615,            0.015224,           0.0037491,                   0,            0.007822,            0.007822,            0.007822
                  68,            0.018813,           0.0049516,                   0,             0.99998,                   1,               0.995,             0.78687,            0.015173,           0.0037387,                   0,            0.007789,            0.007789,            0.007789
                  69,            0.018817,           0.0050086,                   0,             0.99998,                   1,               0.995,             0.78904,            0.015105,           0.0037339,                   0,            0.007756,            0.007756,            0.007756
